url,title,description
https://www.alation.com/blog/everything-is-connected-everything-changes/,"Everything is Connected, Everything Changes. A GIS Data Scientist Reflects on a Field in Flux | Alation","Spatial data may not be inherently special, but taking a spatial perspective provides critical context for any data exploration. Learn more."
https://www.alation.com/blog/alation-top-data-catalog-fifth-consecutive-year-by-dresner/,"Alation Scoops Gold in Dresner’s Wisdom of Crowds Report | Alation",Alation named the #1 data catalog in Dresner Advisory Services’ 2021 Wisdom of Crowds® Data Catalog Market Study. Read more.
https://www.alation.com/blog/remaking-the-future-of-enterprise-search/,"How 2021.2 Is Remaking the Future of Enterprise Search | Alation","With the latest release of 2021.2, Alation has upgraded search with ranking that weights valuable social signals. Read more."
https://www.alation.com/blog/introducing-alation-cloud-service/,"Introducing Alation Cloud Service with Jason Ma, Senior Director of Product Management | Alation","Learn about the new Alation Cloud Service offering in this interview with Jason Ma, Alation's director of Technical Product Marketing."
https://www.alation.com/blog/aws-search-discover-query-govern-data/,"Alation Collaborates with AWS to Enhance Cloud Data Search & Discovery, Data Governance, and Migration | Alation",Alation announced having achieved AWS Advanced Technology Partner status and is now available in AWS Marketplace. Learn more about this.
https://www.alation.com/blog/active-data-governance-everyone-data-steward/,"To Activate Data Governance, Everybody Must be a Data Steward | Alation","In this blog, Bob Seiner focuses on the concept that everybody must be a data steward in order for data governance to be activated. Read more."
https://www.alation.com/blog/searching-for-answers/,"Searching for Answers | Alation","Alation CEO and Co-Founder, Satyen Sangani, writes about struggling with the events of this week and the search for answers."
https://www.alation.com/blog/work-in-the-time-of-coronavirus/,"Work in the time of Coronavirus | Alation","Alation CEO and Co-Founder Satyen Sangani details the company's latest policy regarding Coronavirus (COVID-19), including best practices for health and safety and remote work."
https://www.alation.com/blog/alation-achieves-iso-27001-certification/,"Alation Achieves ISO 27001 Certification | Alation","To ensure that the Alation Data Catalog provides a secure and reliable solution for our customers, our security team created a secure space for the development of the data catalog. As of January 29, 2020, Alation is an ISO/IEC 27001:2013 certified provider with an Information Security Management System (ISMS) that has received third-party accreditation from the International Standards Organization."
https://www.alation.com/blog/data-radicals-podcast-launch/,"Why You Should Listen to My New Podcast, Data Radicals | Alation","Our very own CEO, Satyen Sangani, is launching his first podcast: Data Radicals. You won't want to miss all the innovative data talk. Click here to learn more."
https://www.alation.com/blog/what-is-cdo-4-0/,"What is CDO 4.0? — A CDO’s Perspective | Alation","What is CDO 4.0? Alation’s Chief Data Officer, Aaron Kalb, examines Gartner’s new classification for the ideal Chief Data Officer (CDO) mindset."
https://www.alation.com/blog/data-governance-strategy-failing/,"Failed Data Governance Strategy? Barriers to Success | Alation","Data strategy and governance often fails due to a lack of understanding, communication gaps and failure to align with the enterprise’s overall strategy."
https://www.alation.com/blog/alation-achieves-iso-and-hitech-certifications/,"Alation Achieves ISO & HITECH Certifications | Alation",Ensuring cloud migration data security is essential. Learn how Alation earned ISO 27001 and ISO 27701 certifications and a SOC 2 Type II + HITECH today.
https://www.alation.com/blog/alation-and-einstein-analytics-announce-deep-integration-for-data-cataloging-and-governance/,"Alation and Einstein Analytics Announce Deep Integration For Data Cataloging and Governance | Alation",The integration of Einstein Analytics and Alation's Data Catalog will bring the collaborative power of data cataloging to its users. Learn more.
https://www.alation.com/blog/alation-partners-with-teradata/,"Alation Partners with Teradata | Alation","Alation announced it will be the primary solution for Teradata customers, helping increase the productivity of their data consumers and more. Learn more."
https://www.alation.com/blog/alations-role-in-the-sentient-enterprise/,"Alation’s Role in the Sentient Enterprise | Alation",Learn more abut how Alation customers are experimenting with the beginning of the sentient enterprise.
https://www.alation.com/blog/launching-today/,"Launching Today | Alation","Alation's partners talk about their experience with Alation, the benefits they see and the vision that they have for using data in their organizations. Learn more."
https://www.alation.com/blog/making-data-accessible/,"Making Data Accessible | Alation","We’re producing more containers of data every day. All of these containers come with a lot of complexity and this complexity, in turn, makes data inaccessible. Learn more."
https://www.alation.com/blog/self-service-bi/,"Self-Service BI: A Case of Trust Working Both Ways? | Alation",Are you curious on how self-service BI works? Who benefits from it? Who loses out? Don't miss out on the essential next chapter of BI today.
https://www.alation.com/blog/self-service-bi-vs-traditional-bi/,"Self-Service BI vs Traditional BI: What’s Next? | Alation","Curious on what's the difference between self-service BI vs traditional BI? Well, let us explain it to you. Learn what's next between the two today!"
https://www.alation.com/blog/these-are-datas-dark-ages-and-that-needs-to-change/,"These Are Data's Dark Ages, and That Needs to Change | Alation","In spite of recent data-driven achievements, evidence suggests that humans may well be in the dark ages of data, with less than 1% being data-driven professionals. Discover how to build a more data-literate world."
https://www.alation.com/blog/what-in-the-world-is-an-augmented-data-catalog/,"What in the World is an Augmented Data Catalog? | Alation","Learn more about how an augmented data catalog uses machine learning to automate the arduous, manual tasks."
https://www.alation.com/blog/mercadolibre-democratizes-bi-with-certified-data-collaboration-and-self-service/,"MercadoLibre Democratizes BI with Certified Data, Collaboration and Self-Service | Alation","Ron Powell, independent analyst and industry expert for the BeyeNETWORK and executive producer of The World Transformed FastForward Series, interviews Adrian Quilis, Director of Business Intelligence at MercadoLibre. Read the interview."
https://www.alation.com/blog/navigating-data-alation-trifacta/,"Navigating Data: Alation + Trifacta | Alation",Alation announced an expansion of their partnership with Trifacta. Learn more about this partnership today.
https://www.alation.com/blog/self-service-datas-new-frontier-the-data-catalog/,"Self-Service Data's New Frontier: The Data Catalog | Alation",This blog post is a reflection on the Gartner BI and Analytics Summit. Learn more.
https://www.alation.com/blog/the-science-of-savings/,"The Science of Savings: An Interview with the Alation Data Scientists | Alation","The Alation platform saves many hours of time and effort, according to study findings. Learn more about this in this interview with Andrea Levy and Naveen Kalyanasamy, study authors and data scientists at Alation."
https://www.alation.com/blog/data-engineering-teams-waste-time-resources-due-to-poor-knowledge-of-data-usage/,"Data Engineering Teams Waste Time & Resources Due to Poor Knowledge of Data Usage | Alation","There are many issues beyond the 3V’s (Volume, Velocity, Variety) that significantly hinder data analysts. Learn more."
https://www.alation.com/blog/bringing-more-people-databricks-lakehouse/,"Alation + Databricks: Deepened Support for Lakehouse | Alation",Alation and Databricks enable enterprises to empower more people to make data-driven decisions on trust data and drive data culture. Learn more.
https://www.alation.com/blog/the-agile-analytics-gap/,"The Agile Analytics Gap | Alation","The data lake is the answer to reducing cycle time in analytics—once you have one, you no longer have to wait months for engineering to create your data set before you get started on analysis. Learn more."
